date,rolling_sharpe_net_63d,rolling_sharpe_gross_63d
2025-04-10,5.9618378724156464,6.914159821175178
2025-04-11,5.86776402125945,6.818637806922951
2025-04-14,5.956136115818091,6.898490840686116
2025-04-15,6.035959649108927,6.967879727899618
2025-04-16,6.245366352895506,7.1341883229853105
2025-04-17,6.581963159314182,7.396842155352532
2025-04-18,6.4215560745239415,7.218234870382966
2025-04-21,6.655163105713493,7.4124276924269745
2025-04-22,6.673233888691004,7.4197558349994885
2025-04-23,6.399077015031121,7.14958601001751
2025-04-24,6.024939741412099,6.758665194168256
2025-04-25,5.637391634262742,6.36940738453867
2025-04-28,5.239222640208416,5.955862526172762
2025-04-29,4.725496559128858,5.424135843058441
2025-04-30,4.6048316268520715,5.30556167486709
2025-05-01,4.9181113258953335,5.615022335848658
2025-05-02,4.662355835075623,5.37312919127477
2025-05-05,4.937700643797926,5.615113195732538
2025-05-06,5.388887140533682,6.0094699636700275
2025-05-07,5.939791265088286,6.5285491217591485
2025-05-08,6.151912905948223,6.741266419017345
2025-05-09,6.456091991997754,7.042083399292713
2025-05-12,6.509981582185512,7.101813372539145
2025-05-13,6.734667295931665,7.329581113217316
2025-05-14,6.862525805807272,7.4587263632459795
2025-05-15,6.950304957981902,7.560242197323068
2025-05-16,7.008323426774727,7.618873647651944
2025-05-19,7.100217088079753,7.714282489835145
2025-05-20,7.271467580118523,7.890880215662018
2025-05-21,7.426322997057682,8.048701709127231
2025-05-22,7.605511995197568,8.23276590750904
2025-05-23,7.930591644722624,8.560307789027755
2025-05-26,7.984091151503319,8.601141155261748
2025-05-27,8.0618723251052,8.68182900960415
2025-05-28,8.002220543256742,8.620541836506879
2025-05-29,8.070862263295153,8.684444792781571
2025-05-30,8.095709656502313,8.714803684643318
2025-06-02,8.0026429694657,8.623755995724988
2025-06-03,7.636341100319138,8.254187467344524
2025-06-04,7.284277038727426,7.899719549823195
2025-06-05,6.926789182409732,7.543704944528545
2025-06-06,6.886648188236317,7.5044424999904615
2025-06-09,6.826825221115619,7.445444038149656
2025-06-10,6.982369689369,7.601052101778695
2025-06-11,7.170343330082234,7.78929939551677
2025-06-12,7.268282943978318,7.88535892238132
2025-06-13,6.705455188110248,7.315569818003141
2025-06-16,6.906801333266404,7.529291562874294
2025-06-17,7.0584072896199315,7.689770606416649
2025-06-18,7.161058553118333,7.794100816527939
2025-06-19,7.340262209844071,7.962254740444232
2025-06-20,7.488997499849674,8.116931469979425
2025-06-23,7.497864965512063,8.134769270530024
2025-06-24,7.2743118101515245,7.90806379990669
2025-06-25,7.108500838221232,7.733529112846597
2025-06-26,7.098589619226613,7.719217329621013
2025-06-27,6.918700181232092,7.539249721525889
2025-06-30,6.557739607350907,7.183937381425208
2025-07-01,6.373430748868168,6.994697683745214
2025-07-02,5.82553266206012,6.460169652388331
2025-07-03,5.784362834257299,6.421849776953516
2025-07-04,5.640503733918898,6.263984865843101
2025-07-07,6.32334243812939,6.969576435046379
2025-07-08,6.493004731140466,7.142023216808169
2025-07-09,6.499505753792666,7.149169581065732
2025-07-10,6.3879051911408355,7.039947426418178
2025-07-11,6.276125807191624,6.932334789513399
2025-07-14,5.853352506422598,6.523936679828509
2025-07-15,5.176504486688552,5.894019981834873
2025-07-16,5.136500328181712,5.863413535200978
2025-07-17,4.751506796299261,5.516820122445679
2025-07-18,4.241833659422481,5.045064162154092
2025-07-21,4.23354178542633,5.04034228524539
2025-07-22,4.530767189677075,5.348919324105507
